alert_id,investigation_id,rule_id,alert_name,first_seen,last_seen,hostname,source_ip,affected_username,target_username,event_count,severity,risk_score,confidence,description,evidence_event_ids,possible_impact,recommended_actions,status,analyst_notes,created_at,updated_at
alert-7b5a4b4611cc,inv-248600b1fbdc,AUTH-001,Repeated SSH failures,2026-03-10T03:38:21,2026-03-10T03:41:39,webserver01,198.51.100.23,backup,,5,Medium,15,0.85,Repeated SSH password failures indicate brute-force activity.,"['event-c985d139d4fb', 'event-3613cf0dde23', 'event-743df1181695', 'event-7b3ff59c3027', 'event-a5fd480079d6']",Credential guessing may lead to account compromise.,"['Review targeted accounts', 'Restrict or block the source IP after approval', 'Enable MFA']",New,,2026-08-03T16:44:07.826041,2026-08-03T16:44:07.826046
alert-2953dc9f8aee,inv-248600b1fbdc,AUTH-002,Username enumeration,2026-03-10T03:14:02,2026-03-10T03:23:48,webserver01,198.51.100.23,admin,,34,Medium,15,0.85,Multiple invalid usernames indicate account discovery.,"['event-d838fb275ee3', 'event-6b7be9c5d5d3', 'event-dcebacf55e7c', 'event-065e82f6e242', 'event-d78abaacb92e', 'event-48425a375a1c', 'event-57d8e33741f4', 'event-fde8e34fffb1', 'event-c232410fc4f7', 'event-9a56169fc132', 'event-ca46701ec46e', 'event-576706f01d18', 'event-265a252f4560', 'event-11b1d8d03ff4', 'event-06ad3a3259ae', 'event-4183ce1efff1', 'event-b07d463839d2', 'event-5719671cd25a', 'event-d4393ccb3156', 'event-e6a5cfb4b781', 'event-eb15729a6377', 'event-2c408ea7ba27', 'event-50bef46f3437', 'event-570766cbefc7', 'event-c37f0f3cefa9', 'event-feec166843b3', 'event-17472f2ae4ad', 'event-c3efad60099f', 'event-a987f10f87ef', 'event-67fcaf291348', 'event-f0c2566e28ed', 'event-8deac6eaab65', 'event-2146fb43134b', 'event-6e4c0c4d54bb']",Attacker may identify valid accounts for later compromise.,"['Review invalid usernames', 'Harden SSH exposure', 'Deploy rate limiting']",New,,2026-08-03T16:44:07.833864,2026-08-03T16:44:07.833868
alert-1cc7efe9242c,inv-248600b1fbdc,AUTH-003,Successful login after repeated failures,2026-03-10T03:15:17,2026-03-10T03:45:16,webserver01,198.51.100.23,backup,,81,High,35,0.9,A login succeeded after repeated failures from the same source.,"['event-d78abaacb92e', 'event-48425a375a1c', 'event-57d8e33741f4', 'event-fde8e34fffb1', 'event-c232410fc4f7', 'event-9a56169fc132', 'event-ca46701ec46e', 'event-576706f01d18', 'event-265a252f4560', 'event-11b1d8d03ff4', 'event-06ad3a3259ae', 'event-4183ce1efff1', 'event-b07d463839d2', 'event-5719671cd25a', 'event-d4393ccb3156', 'event-e6a5cfb4b781', 'event-eb15729a6377', 'event-2c408ea7ba27', 'event-50bef46f3437', 'event-570766cbefc7', 'event-c37f0f3cefa9', 'event-feec166843b3', 'event-17472f2ae4ad', 'event-c3efad60099f', 'event-a987f10f87ef', 'event-67fcaf291348', 'event-f0c2566e28ed', 'event-8deac6eaab65', 'event-2146fb43134b', 'event-6e4c0c4d54bb', 'event-a266c59dc25f', 'event-6eab863db449', 'event-d386be0a7d9a', 'event-d5f92bb7641a', 'event-f9c46d425beb', 'event-6450560d67f9', 'event-6a12571eb713', 'event-b9c3c8239965', 'event-9b88e656d726', 'event-8a12254167bf', 'event-13cdb4df2f5b', 'event-c639b157e840', 'event-f160d386bb74', 'event-830f9c4c556f', 'event-ab8aabed7a1b', 'event-d2c536740d41', 'event-6e81779751df', 'event-2537289fef27', 'event-72b0a89bc0b6', 'event-777ac74abb96', 'event-71ec4168273b', 'event-154122d5c835', 'event-aaec2db320da', 'event-a18891a853d5', 'event-824e397cad71', 'event-1d0b37c0646f', 'event-944219d8d52e', 'event-f3d419f3b839', 'event-c0aacd47dc3b', 'event-cf1c3c6a4c9f', 'event-bb077500dab0', 'event-de4c7b10e7c8', 'event-9d907ccf3a22', 'event-533458cb2aec', 'event-26ea7e0c67b0', 'event-3f3f862017c3', 'event-6e85cc04f338', 'event-91371f943bc7', 'event-ceaf369e60b5', 'event-44a919cdbcad', 'event-6750be591531', 'event-39edbf706330', 'event-c985d139d4fb', 'event-3613cf0dde23', 'event-743df1181695', 'event-7b3ff59c3027', 'event-a5fd480079d6', 'event-912a58fd622a', 'event-94fe80b7152d', 'event-251cc240bcdf', 'event-1bf05545843a']",Likely credential compromise.,"['Reset the affected password', 'Preserve evidence', 'Review session activity']",New,,2026-08-03T16:44:07.834345,2026-08-03T16:44:07.834348
alert-1b3e49c3fc1f,inv-248600b1fbdc,AUTH-004,Unusual-hours password login,2026-03-10T03:45:16,2026-03-10T03:45:16,webserver01,198.51.100.23,backup,,1,Medium,10,0.7,Password authentication occurred during unusual hours.,['event-1bf05545843a'],May indicate unauthorized access.,"['Confirm with user', 'Review source IP', 'Prefer key-based auth plus MFA']",New,,2026-08-03T16:44:07.834801,2026-08-03T16:44:07.834804
alert-bdd633a46c7a,inv-248600b1fbdc,PRIV-003,Sudoers modification,2026-03-10T03:45:41,2026-03-10T03:45:41,webserver01,,backup,,1,High,20,0.85,Sudoers modification can grant passwordless root.,['event-61293a2b19cf'],Persistent privilege escalation.,"['Restore sudoers', 'Audit passwordless sudo']",New,,2026-08-03T16:44:07.834852,2026-08-03T16:44:07.834855
alert-451c2fc33787,inv-248600b1fbdc,PRIV-001,Root shell obtained,2026-03-10T03:46:21,2026-03-10T03:46:21,webserver01,,backup,,1,High,20,0.9,Root shell or root sudo session observed.,['event-f897ebd6baaf'],Full host control is possible.,"['Review command history', 'Rotate admin credentials', 'Preserve forensic data']",New,,2026-08-03T16:44:07.834895,2026-08-03T16:44:07.834898
alert-beee9caf468d,inv-248600b1fbdc,ACCOUNT-001,Local account created,2026-03-10T03:47:11,2026-03-10T03:47:11,webserver01,,sysupdate,,1,Medium,10,0.8,User creation requires analyst review.,['event-dc57123166a1'],Unauthorized persistence account may exist.,"['Validate change ticket', 'Disable unauthorized users']",New,,2026-08-03T16:44:07.834932,2026-08-03T16:44:07.834934
alert-70de8cff8c57,inv-248600b1fbdc,PRIV-003,Sudoers modification,2026-03-10T03:47:46,2026-03-10T03:47:46,webserver01,,backup,,1,High,20,0.85,Sudoers modification can grant passwordless root.,['event-57561476ffc8'],Persistent privilege escalation.,"['Restore sudoers', 'Audit passwordless sudo']",New,,2026-08-03T16:44:07.834981,2026-08-03T16:44:07.834983
alert-fead783e6a06,inv-248600b1fbdc,PERSIST-001,Suspicious cron persistence,2026-03-10T03:48:16,2026-03-10T03:48:16,webserver01,,backup,,1,High,20,0.8,Cron persistence activity detected.,['event-376b861df974'],Recurring malicious execution.,"['Remove malicious cron entries', 'Inspect scripts']",New,,2026-08-03T16:44:07.835020,2026-08-03T16:44:07.835022
alert-db5633f7110f,inv-248600b1fbdc,PERSIST-002,Remote script piped to shell,2026-03-10T03:48:26,2026-03-10T03:48:26,webserver01,,backup,,1,High,20,0.85,Remote script execution pattern detected in logs.,['event-6f7641f56fee'],Payload execution and persistence.,"['Inspect downloaded URL', 'Block domain after approval', 'Reimage if compromise is confirmed']",New,,2026-08-03T16:44:07.835056,2026-08-03T16:44:07.835058
alert-07eda4aa5bfd,inv-248600b1fbdc,PERSIST-001,Suspicious cron persistence,2026-03-10T03:48:26,2026-03-10T03:48:26,webserver01,,backup,,1,High,20,0.8,Cron persistence activity detected.,['event-6f7641f56fee'],Recurring malicious execution.,"['Remove malicious cron entries', 'Inspect scripts']",New,,2026-08-03T16:44:07.835090,2026-08-03T16:44:07.835093
alert-a205f54f5b80,inv-248600b1fbdc,EVASION-001,Shell history cleared,2026-03-10T03:48:51,2026-03-10T03:48:51,webserver01,,backup,,1,Medium,10,0.75,History clearing suggests defense evasion.,['event-014fb14d678a'],Evidence may be partially destroyed.,"['Preserve remaining logs', 'Alert on history deletion']",New,,2026-08-03T16:44:07.835126,2026-08-03T16:44:07.835128
alert-b5aee847d7f4,inv-248600b1fbdc,EVASION-001,Shell history cleared,2026-03-10T03:48:59,2026-03-10T03:48:59,webserver01,,backup,,1,Medium,10,0.75,History clearing suggests defense evasion.,['event-3e99bbd23efd'],Evidence may be partially destroyed.,"['Preserve remaining logs', 'Alert on history deletion']",New,,2026-08-03T16:44:07.835160,2026-08-03T16:44:07.835163
alert-1cc98e2692d5,inv-248600b1fbdc,AUTH-005,Newly created account login,2026-03-10T06:03:19,2026-03-10T06:03:19,webserver01,198.51.100.23,sysupdate,,1,High,20,0.9,A new local account was later used for access.,['event-0831bbfe766d'],Backdoor account reuse.,"['Disable unauthorized account', 'Review sudo access', 'Rotate credentials']",New,,2026-08-03T16:44:07.835277,2026-08-03T16:44:07.835279
